Year,GeoCode,Value
3650,2018,,2.4
3660,2015,,2.7
3661,2016,,2.4
3662,2017,,2.4
3663,2018,,2.2
3673,2015,,2.8
3674,2016,,2.7
3675,2017,,2.9
3676,2018,,2.7
3686,2015,,2.8
3687,2016,,2.8
3688,2017,,2.7
3689,2018,,2.6
3699,2015,,2.4
3700,2016,,2.5
3701,2017,,2.6
3702,2018,,2.4
3712,2015,,3.1
3713,2016,,2.8
3714,2017,,2.3
3715,2018,,2.4
3725,2015,,3.1
3726,2016,,3.4
3727,2017,,3.1
3728,2018,,2.9
3738,2015,,2.3
3739,2016,,2.6
3740,2017,,2.6
3741,2018,,2.5
3751,2015,,2.5
3752,2016,,2.7
3753,2017,,2.7
3754,2018,,2.4
3764,2015,,3.9
3765,2016,,3.6
3766,2017,,3.5
3767,2018,,3.5
3777,2015,,3.6
3778,2016,,2.9
3779,2017,,3.5
3780,2018,,3.1
3790,2015,,3.4
3791,2016,,3.1
3792,2017,,3.5
3793,2018,,3.1
3803,2015,,3.5
3804,2016,,3.6
3805,2017,,3.7
3806,2018,,3.4
3816,2015,,3.5
3817,2016,,3.5
3818,2017,,2.8
3819,2018,,3.1
3829,2015,,3.4
3830,2016,,3.9
3831,2017,,3.1
3832,2018,,3.3
3842,2015,,3.1
3843,2016,,3.6
3844,2017,,3.4
3845,2018,,3.3
3855,2015,,3.1
3856,2016,,3.3
3857,2017,,3
3858,2018,,2.8
3868,2015,,3
3869,2016,,3.1
3870,2017,,2.9
3871,2018,,2.7
3881,2015,,3.1
3882,2016,,3.5
3883,2017,,3.1
3884,2018,,3.3
3894,2015,,3
3895,2016,,3.4
3896,2017,,3
3897,2018,,3.1
3907,2015,,3.2
3908,2016,,3.3
3909,2017,,2.9
3910,2018,,3.3
3920,2015,,3
3921,2016,,3.1
3922,2017,,3.1
3923,2018,,3.2
3933,2015,,2.6
3934,2016,,2.4
3935,2017,,2.3
3936,2018,,2.2
3946,2015,,3
3947,2016,,2.8
3948,2017,,2.7
3949,2018,,2.7
3959,2015,,2.6
3960,2016,,2.7
3961,2017,,2.8
3962,2018,,2.9
3972,2015,,2.6
3973,2016,,2.7
3974,2017,,2.4
3975,2018,,2.4
3985,2015,,2.5
3986,2016,,2.5
3987,2017,,2.4
3988,2018,,2.2
3998,2015,,2.8
3999,2016,,3.1
4000,2017,,3.3
4001,2018,,2.7
4011,2015,,3.2
4012,2016,,2.9
4013,2017,,3.3
4014,2018,,2.8
4024,2015,,3.4
4025,2016,,3.5
4026,2017,,3
4027,2018,,3
4037,2015,,3.8
4038,2016,,3.6
4039,2017,,3.6
4040,2018,,3.4
4050,2015,,3.3
4051,2016,,3
4052,2017,,3.1
4053,2018,,3
4063,2015,,2.3
4064,2016,,2.4
4065,2017,,2.2
4066,2018,,2.3
4076,2015,,2.7
4077,2016,,2.8
4078,2017,,2.7
4079,2018,,2.3
4089,2015,,3
4090,2016,,3
4091,2017,,2.7
4092,2018,,2.4
4102,2015,,2.7
4103,2016,,2.6
4104,2017,,2.7
4105,2018,,2.4
4115,2015,,3.5
4116,2016,,3.2
4117,2017,,3
4118,2018,,3.1
4128,2015,,2.9
4129,2016,,2.6
4130,2017,,2.7
4131,2018,,3
4141,2015,,2.8
4142,2016,,3.4
4143,2017,,3.3
4144,2018,,2.8
4154,2015,,2.7
4155,2016,,2.7
4156,2017,,2.4
4157,2018,,2.5
4167,2015,,2.9
4168,2016,,2.5
4169,2017,,2.5
4170,2018,,2.2
4180,2015,,3.1
4181,2016,,3.1
4182,2017,,2.7
4183,2018,,3.1
4193,2015,,3.1
4194,2016,,2.8
4195,2017,,2.8
4196,2018,,2.9
4206,2015,,2.9
4207,2016,,2.7
4208,2017,,2.5
4209,2018,,2.6
4219,2015,,2.7
4220,2016,,2.7
4221,2017,,2.5
4222,2018,,2.5
4232,2015,,3.7
4233,2016,,3.6
4234,2017,,3.6
4235,2018,,3.7
4245,2015,,2.4
4246,2016,,2.4
4247,2017,,2.3
4248,2018,,2.4
4258,2015,,3.4
4259,2016,,3.6
4260,2017,,3.4
4261,2018,,3.3
